baseline,lineshape,bwf_g,peak_set,intensity,material_class,snr_label,n_spectra,rmse,coverage,failure_rate,eligible
poly3,lorentzian,False,DG,area,synthetic_disordered_carbon,15,30,0.2220200444172911,0.2,0.0,False
poly3,lorentzian,False,DG,height,synthetic_disordered_carbon,15,30,0.21082200413740065,0.7333333333333333,0.0,False
poly3,lorentzian,False,DGDp,area,synthetic_disordered_carbon,15,30,1.620480565394005,0.0,0.0,False
poly3,lorentzian,False,DGDp,height,synthetic_disordered_carbon,15,30,0.7989874487150443,0.23333333333333334,0.0,False
poly3,lorentzian,False,DGDpD3D4,area,synthetic_disordered_carbon,15,30,1.6268979304429576,0.0,0.0,False
poly3,lorentzian,False,DGDpD3D4,height,synthetic_disordered_carbon,15,30,0.7991939914200903,0.23333333333333334,0.0,False
poly3,lorentzian,True,DG,area,synthetic_disordered_carbon,15,30,,0.0,1.0,False
poly3,lorentzian,True,DG,height,synthetic_disordered_carbon,15,30,,0.0,1.0,False
poly3,lorentzian,True,DGDp,area,synthetic_disordered_carbon,15,30,,0.0,1.0,False
poly3,lorentzian,True,DGDp,height,synthetic_disordered_carbon,15,30,,0.0,1.0,False
poly3,lorentzian,True,DGDpD3D4,area,synthetic_disordered_carbon,15,30,,0.0,1.0,False
poly3,lorentzian,True,DGDpD3D4,height,synthetic_disordered_carbon,15,30,,0.0,1.0,False
poly3,pseudo_voigt,False,DG,area,synthetic_disordered_carbon,15,30,0.17444412696172085,0.36666666666666664,0.0,False
poly3,pseudo_voigt,False,DG,height,synthetic_disordered_carbon,15,30,0.2824601324153471,0.36666666666666664,0.0,False
poly3,pseudo_voigt,False,DGDp,area,synthetic_disordered_carbon,15,30,1.7909422640930173,0.1,0.0,False
poly3,pseudo_voigt,False,DGDp,height,synthetic_disordered_carbon,15,30,0.8547401476403542,0.4,0.0,False
poly3,pseudo_voigt,False,DGDpD3D4,area,synthetic_disordered_carbon,15,30,1.763862604054177,0.03333333333333333,0.0,False
poly3,pseudo_voigt,False,DGDpD3D4,height,synthetic_disordered_carbon,15,30,0.8467411152111741,0.36666666666666664,0.0,False
poly5,gaussian,False,DG,area,synthetic_disordered_carbon,15,30,0.13313863606606088,0.4666666666666667,0.0,False
poly5,gaussian,False,DG,height,synthetic_disordered_carbon,15,30,0.2708722596876811,0.4,0.0,False
poly5,gaussian,False,DGDp,area,synthetic_disordered_carbon,15,30,1.2171998411736626,0.1,0.0,False
poly5,gaussian,False,DGDp,height,synthetic_disordered_carbon,15,30,0.7137019025566838,0.5,0.0,False
poly5,gaussian,False,DGDpD3D4,area,synthetic_disordered_carbon,15,30,1.2470306597586163,0.1,0.0,False
poly5,gaussian,False,DGDpD3D4,height,synthetic_disordered_carbon,15,30,0.6837934721724557,0.43333333333333335,0.0,False
poly5,lorentzian,False,DG,area,synthetic_disordered_carbon,15,30,0.17040239438117294,0.5333333333333333,0.0,False
poly5,lorentzian,False,DG,height,synthetic_disordered_carbon,15,30,0.19790493275304186,0.8,0.0,False
poly5,lorentzian,False,DGDp,area,synthetic_disordered_carbon,15,30,1.352241764208807,0.0,0.0,False
poly5,lorentzian,False,DGDp,height,synthetic_disordered_carbon,15,30,0.7438508755075532,0.3333333333333333,0.0,False
poly5,lorentzian,False,DGDpD3D4,area,synthetic_disordered_carbon,15,30,1.3529402736198568,0.0,0.0,False
poly5,lorentzian,False,DGDpD3D4,height,synthetic_disordered_carbon,15,30,0.7443942987764833,0.3333333333333333,0.0,False
poly5,lorentzian,True,DG,area,synthetic_disordered_carbon,15,30,,0.0,1.0,False
poly5,lorentzian,True,DG,height,synthetic_disordered_carbon,15,30,,0.0,1.0,False
poly5,lorentzian,True,DGDp,area,synthetic_disordered_carbon,15,30,,0.0,1.0,False
poly5,lorentzian,True,DGDp,height,synthetic_disordered_carbon,15,30,,0.0,1.0,False
poly5,lorentzian,True,DGDpD3D4,area,synthetic_disordered_carbon,15,30,,0.0,1.0,False
poly5,lorentzian,True,DGDpD3D4,height,synthetic_disordered_carbon,15,30,,0.0,1.0,False
poly5,pseudo_voigt,False,DG,area,synthetic_disordered_carbon,15,30,0.13313938634723405,0.4666666666666667,0.0,False
poly5,pseudo_voigt,False,DG,height,synthetic_disordered_carbon,15,30,0.27085638924722855,0.4,0.0,False
poly5,pseudo_voigt,False,DGDp,area,synthetic_disordered_carbon,15,30,1.4456853391792026,0.1,0.0,False
poly5,pseudo_voigt,False,DGDp,height,synthetic_disordered_carbon,15,30,0.7846693553043409,0.5333333333333333,0.0,False
poly5,pseudo_voigt,False,DGDpD3D4,area,synthetic_disordered_carbon,15,30,1.253160110235838,0.06666666666666667,0.0,False
poly5,pseudo_voigt,False,DGDpD3D4,height,synthetic_disordered_carbon,15,30,0.685296358015798,0.5,0.0,False
als,gaussian,False,DG,area,synthetic_disordered_carbon,50,30,0.12415560214852463,0.2,0.0,False
als,gaussian,False,DG,height,synthetic_disordered_carbon,50,30,0.37043235769094557,0.13333333333333333,0.0,False
als,gaussian,False,DGDp,area,synthetic_disordered_carbon,50,30,1.7210791975155186,0.06666666666666667,0.0,False
als,gaussian,False,DGDp,height,synthetic_disordered_carbon,50,30,4.299825189726583,0.16666666666666666,0.0,False
als,gaussian,False,DGDpD3D4,area,synthetic_disordered_carbon,50,30,1.4534408909802983,0.1,0.0,False
als,gaussian,False,DGDpD3D4,height,synthetic_disordered_carbon,50,30,3.5103162911480363,0.2,0.0,False
als,lorentzian,False,DG,area,synthetic_disordered_carbon,50,30,0.14001968840217638,0.2,0.0,False
als,lorentzian,False,DG,height,synthetic_disordered_carbon,50,30,0.3219481355115135,0.23333333333333334,0.0,False
als,lorentzian,False,DGDp,area,synthetic_disordered_carbon,50,30,1.0224922477300917,0.06666666666666667,0.0,False
als,lorentzian,False,DGDp,height,synthetic_disordered_carbon,50,30,5.353872322435263,0.23333333333333334,0.0,False
als,lorentzian,False,DGDpD3D4,area,synthetic_disordered_carbon,50,30,1.0228894270341322,0.13333333333333333,0.0,False
als,lorentzian,False,DGDpD3D4,height,synthetic_disordered_carbon,50,30,1.0208624561313866,0.2,0.0,False
als,lorentzian,True,DG,area,synthetic_disordered_carbon,50,30,,0.0,1.0,False
als,lorentzian,True,DG,height,synthetic_disordered_carbon,50,30,,0.0,1.0,False
als,lorentzian,True,DGDp,area,synthetic_disordered_carbon,50,30,,0.0,1.0,False
als,lorentzian,True,DGDp,height,synthetic_disordered_carbon,50,30,,0.0,1.0,False
als,lorentzian,True,DGDpD3D4,area,synthetic_disordered_carbon,50,30,,0.0,1.0,False
als,lorentzian,True,DGDpD3D4,height,synthetic_disordered_carbon,50,30,,0.0,1.0,False
als,pseudo_voigt,False,DG,area,synthetic_disordered_carbon,50,30,0.10921972265235329,0.23333333333333334,0.0,False
als,pseudo_voigt,False,DG,height,synthetic_disordered_carbon,50,30,0.3864082873805408,0.2,0.0,False
als,pseudo_voigt,False,DGDp,area,synthetic_disordered_carbon,50,30,1.167736685862564,0.23333333333333334,0.0,False
als,pseudo_voigt,False,DGDp,height,synthetic_disordered_carbon,50,30,4.372034800907143,0.4666666666666667,0.0,False
als,pseudo_voigt,False,DGDpD3D4,area,synthetic_disordered_carbon,50,30,1.1542390580025768,0.1,0.0,False
als,pseudo_voigt,False,DGDpD3D4,height,synthetic_disordered_carbon,50,30,5.325020183966625,0.5,0.0,False
linear,gaussian,False,DG,area,synthetic_disordered_carbon,50,30,0.14945819156094864,0.3,0.0,False
linear,gaussian,False,DG,height,synthetic_disordered_carbon,50,30,0.3645873919132161,0.23333333333333334,0.0,False
linear,gaussian,False,DGDp,area,synthetic_disordered_carbon,50,30,2.1803667901741766,0.0,0.0,False
linear,gaussian,False,DGDp,height,synthetic_disordered_carbon,50,30,3.5448147475936724,0.43333333333333335,0.0,False
linear,gaussian,False,DGDpD3D4,area,synthetic_disordered_carbon,50,30,1.887958686939383,0.03333333333333333,0.0,False
linear,gaussian,False,DGDpD3D4,height,synthetic_disordered_carbon,50,30,1.4102143350441667,0.5,0.0,False
linear,lorentzian,False,DG,area,synthetic_disordered_carbon,50,30,0.18605525341525306,0.3,0.0,False
linear,lorentzian,False,DG,height,synthetic_disordered_carbon,50,30,0.28969811309915033,0.4,0.0,False
linear,lorentzian,False,DGDp,area,synthetic_disordered_carbon,50,30,1.527441805948597,0.0,0.0,False
linear,lorentzian,False,DGDp,height,synthetic_disordered_carbon,50,30,0.894489629405557,0.23333333333333334,0.0,False
linear,lorentzian,False,DGDpD3D4,area,synthetic_disordered_carbon,50,30,1.5032583283845722,0.0,0.0,False
linear,lorentzian,False,DGDpD3D4,height,synthetic_disordered_carbon,50,30,0.8533830712159606,0.23333333333333334,0.0,False
linear,lorentzian,True,DG,area,synthetic_disordered_carbon,50,30,,0.0,1.0,False
linear,lorentzian,True,DG,height,synthetic_disordered_carbon,50,30,,0.0,1.0,False
linear,lorentzian,True,DGDp,area,synthetic_disordered_carbon,50,30,,0.0,1.0,False
linear,lorentzian,True,DGDp,height,synthetic_disordered_carbon,50,30,,0.0,1.0,False
linear,lorentzian,True,DGDpD3D4,area,synthetic_disordered_carbon,50,30,,0.0,1.0,False
linear,lorentzian,True,DGDpD3D4,height,synthetic_disordered_carbon,50,30,,0.0,1.0,False
linear,pseudo_voigt,False,DG,area,synthetic_disordered_carbon,50,30,0.18830485608441774,0.3,0.0,False
linear,pseudo_voigt,False,DG,height,synthetic_disordered_carbon,50,30,0.5978844835375041,0.2,0.0,False
linear,pseudo_voigt,False,DGDp,area,synthetic_disordered_carbon,50,30,1.9906002247522705,0.03333333333333333,0.0,False
linear,pseudo_voigt,False,DGDp,height,synthetic_disordered_carbon,50,30,6.58829598311284,0.5666666666666667,0.0,False
linear,pseudo_voigt,False,DGDpD3D4,area,synthetic_disordered_carbon,50,30,1.7308106226470616,0.03333333333333333,0.0,False
linear,pseudo_voigt,False,DGDpD3D4,height,synthetic_disordered_carbon,50,30,2.3514566063354314,0.5333333333333333,0.0,False
poly3,gaussian,False,DG,area,synthetic_disordered_carbon,50,30,0.15914717224805003,0.4,0.0,False
poly3,gaussian,False,DG,height,synthetic_disordered_carbon,50,30,0.3265775141733666,0.23333333333333334,0.0,False
poly3,gaussian,False,DGDp,area,synthetic_disordered_carbon,50,30,1.8150033387274775,0.06666666666666667,0.0,False
poly3,gaussian,False,DGDp,height,synthetic_disordered_carbon,50,30,1.0691027511769997,0.3333333333333333,0.0,False
poly3,gaussian,False,DGDpD3D4,area,synthetic_disordered_carbon,50,30,1.5994356958228642,0.03333333333333333,0.0,False
poly3,gaussian,False,DGDpD3D4,height,synthetic_disordered_carbon,50,30,1.005878383458457,0.4,0.0,False
poly3,lorentzian,False,DG,area,synthetic_disordered_carbon,50,30,0.22182006751567548,0.5,0.0,False
poly3,lorentzian,False,DG,height,synthetic_disordered_carbon,50,30,0.2846596679512551,0.6333333333333333,0.0,False
poly3,lorentzian,False,DGDp,area,synthetic_disordered_carbon,50,30,1.5295954901949589,0.0,0.0,False
poly3,lorentzian,False,DGDp,height,synthetic_disordered_carbon,50,30,0.94827692453216,0.23333333333333334,0.0,False
poly3,lorentzian,False,DGDpD3D4,area,synthetic_disordered_carbon,50,30,1.5299075634114045,0.0,0.0,False
poly3,lorentzian,False,DGDpD3D4,height,synthetic_disordered_carbon,50,30,0.947939117357425,0.23333333333333334,0.0,False
poly3,lorentzian,True,DG,area,synthetic_disordered_carbon,50,30,,0.0,1.0,False
poly3,lorentzian,True,DG,height,synthetic_disordered_carbon,50,30,,0.0,1.0,False
poly3,lorentzian,True,DGDp,area,synthetic_disordered_carbon,50,30,,0.0,1.0,False
poly3,lorentzian,True,DGDp,height,synthetic_disordered_carbon,50,30,,0.0,1.0,False
poly3,lorentzian,True,DGDpD3D4,area,synthetic_disordered_carbon,50,30,,0.0,1.0,False
poly3,lorentzian,True,DGDpD3D4,height,synthetic_disordered_carbon,50,30,,0.0,1.0,False
poly3,pseudo_voigt,False,DG,area,synthetic_disordered_carbon,50,30,0.1719724293163659,0.43333333333333335,0.0,False
poly3,pseudo_voigt,False,DG,height,synthetic_disordered_carbon,50,30,0.5797404745620902,0.16666666666666666,0.0,False
poly3,pseudo_voigt,False,DGDp,area,synthetic_disordered_carbon,50,30,1.6429307973023275,0.03333333333333333,0.0,False
poly3,pseudo_voigt,False,DGDp,height,synthetic_disordered_carbon,50,30,1.408457151043096,0.36666666666666664,0.0,False
poly3,pseudo_voigt,False,DGDpD3D4,area,synthetic_disordered_carbon,50,30,1.4945392296956894,0.03333333333333333,0.0,False
poly3,pseudo_voigt,False,DGDpD3D4,height,synthetic_disordered_carbon,50,30,1.391988122441853,0.4,0.0,False
poly5,gaussian,False,DG,area,synthetic_disordered_carbon,50,30,0.13449430861208392,0.36666666666666664,0.0,False
poly5,gaussian,False,DG,height,synthetic_disordered_carbon,50,30,0.32360218356467596,0.3,0.0,False
poly5,gaussian,False,DGDp,area,synthetic_disordered_carbon,50,30,1.3053925819181484,0.06666666666666667,0.0,False
poly5,gaussian,False,DGDp,height,synthetic_disordered_carbon,50,30,1.0212363998547949,0.36666666666666664,0.0,False
poly5,gaussian,False,DGDpD3D4,area,synthetic_disordered_carbon,50,30,1.3055134437942209,0.06666666666666667,0.0,False
poly5,gaussian,False,DGDpD3D4,height,synthetic_disordered_carbon,50,30,1.0222423833947614,0.36666666666666664,0.0,False
poly5,lorentzian,False,DG,area,synthetic_disordered_carbon,50,30,0.19960728647777495,0.4666666666666667,0.0,False
poly5,lorentzian,False,DG,height,synthetic_disordered_carbon,50,30,0.23081277793927432,0.7,0.0,False
poly5,lorentzian,False,DGDp,area,synthetic_disordered_carbon,50,30,1.2806843488322217,0.03333333333333333,0.0,False
poly5,lorentzian,False,DGDp,height,synthetic_disordered_carbon,50,30,0.9231598028480984,0.23333333333333334,0.0,False
poly5,lorentzian,False,DGDpD3D4,area,synthetic_disordered_carbon,50,30,1.2809175574499994,0.03333333333333333,0.0,False
poly5,lorentzian,False,DGDpD3D4,height,synthetic_disordered_carbon,50,30,0.9232586702560306,0.23333333333333334,0.0,False
poly5,lorentzian,True,DG,area,synthetic_disordered_carbon,50,30,,0.0,1.0,False
poly5,lorentzian,True,DG,height,synthetic_disordered_carbon,50,30,,0.0,1.0,False
poly5,lorentzian,True,DGDp,area,synthetic_disordered_carbon,50,30,,0.0,1.0,False
poly5,lorentzian,True,DGDp,height,synthetic_disordered_carbon,50,30,,0.0,1.0,False
poly5,lorentzian,True,DGDpD3D4,area,synthetic_disordered_carbon,50,30,,0.0,1.0,False
poly5,lorentzian,True,DGDpD3D4,height,synthetic_disordered_carbon,50,30,,0.0,1.0,False
poly5,pseudo_voigt,False,DG,area,synthetic_disordered_carbon,50,30,0.1390535029835868,0.36666666666666664,0.0,False
poly5,pseudo_voigt,False,DG,height,synthetic_disordered_carbon,50,30,0.5399042399433077,0.26666666666666666,0.0,False
poly5,pseudo_voigt,False,DGDp,area,synthetic_disordered_carbon,50,30,1.316730293041334,0.06666666666666667,0.0,False
poly5,pseudo_voigt,False,DGDp,height,synthetic_disordered_carbon,50,30,1.3700576819115833,0.36666666666666664,0.0,False
poly5,pseudo_voigt,False,DGDpD3D4,area,synthetic_disordered_carbon,50,30,1.2922559014556922,0.1,0.0,False
poly5,pseudo_voigt,False,DGDpD3D4,height,synthetic_disordered_carbon,50,30,1.3528334747250845,0.36666666666666664,0.0,False
als,gaussian,False,DG,area,synthetic_disordered_carbon,200,30,0.1883146408252864,0.2,0.0,False
als,gaussian,False,DG,height,synthetic_disordered_carbon,200,30,0.3214877023922092,0.06666666666666667,0.0,False
als,gaussian,False,DGDp,area,synthetic_disordered_carbon,200,30,1.1369233249115296,0.2,0.0,False
als,gaussian,False,DGDp,height,synthetic_disordered_carbon,200,30,1.521794359610756,0.13333333333333333,0.0,False
als,gaussian,False,DGDpD3D4,area,synthetic_disordered_carbon,200,30,1.1139000120578666,0.23333333333333334,0.0,False
als,gaussian,False,DGDpD3D4,height,synthetic_disordered_carbon,200,30,1.497105101965077,0.13333333333333333,0.0,False
als,lorentzian,False,DG,area,synthetic_disordered_carbon,200,30,0.1896779637236616,0.3333333333333333,0.0,False
als,lorentzian,False,DG,height,synthetic_disordered_carbon,200,30,0.27024831346223666,0.1,0.0,False
als,lorentzian,False,DGDp,area,synthetic_disordered_carbon,200,30,1.0533137928165852,0.03333333333333333,0.0,False
als,lorentzian,False,DGDp,height,synthetic_disordered_carbon,200,30,0.8412847357180325,0.13333333333333333,0.0,False
als,lorentzian,False,DGDpD3D4,area,synthetic_disordered_carbon,200,30,1.0719094588011713,0.03333333333333333,0.0,False
als,lorentzian,False,DGDpD3D4,height,synthetic_disordered_carbon,200,30,0.8817884982189894,0.1,0.0,False
als,lorentzian,True,DG,area,synthetic_disordered_carbon,200,30,,0.0,1.0,False
als,lorentzian,True,DG,height,synthetic_disordered_carbon,200,30,,0.0,1.0,False
als,lorentzian,True,DGDp,area,synthetic_disordered_carbon,200,30,,0.0,1.0,False
als,lorentzian,True,DGDp,height,synthetic_disordered_carbon,200,30,,0.0,1.0,False
als,lorentzian,True,DGDpD3D4,area,synthetic_disordered_carbon,200,30,,0.0,1.0,False
als,lorentzian,True,DGDpD3D4,height,synthetic_disordered_carbon,200,30,,0.0,1.0,False
als,pseudo_voigt,False,DG,area,synthetic_disordered_carbon,200,30,0.14105264843332666,0.2,0.0,False
als,pseudo_voigt,False,DG,height,synthetic_disordered_carbon,200,30,0.4559913498042865,0.1,0.0,False
als,pseudo_voigt,False,DGDp,area,synthetic_disordered_carbon,200,30,0.9223800169172891,0.03333333333333333,0.0,False
als,pseudo_voigt,False,DGDp,height,synthetic_disordered_carbon,200,30,0.9710489023895218,0.3333333333333333,0.0,False
als,pseudo_voigt,False,DGDpD3D4,area,synthetic_disordered_carbon,200,30,1.2256248949201836,0.0,0.0,False
als,pseudo_voigt,False,DGDpD3D4,height,synthetic_disordered_carbon,200,30,1.943296453914837,0.1,0.0,False
linear,gaussian,False,DG,area,synthetic_disordered_carbon,200,30,0.20104036826764582,0.3,0.0,False
linear,gaussian,False,DG,height,synthetic_disordered_carbon,200,30,0.2922119273584305,0.26666666666666666,0.0,False
linear,gaussian,False,DGDp,area,synthetic_disordered_carbon,200,30,1.6946145109087176,0.0,0.0,False
linear,gaussian,False,DGDp,height,synthetic_disordered_carbon,200,30,1.6991062630101044,0.23333333333333334,0.0,False
linear,gaussian,False,DGDpD3D4,area,synthetic_disordered_carbon,200,30,1.6237654734620475,0.03333333333333333,0.0,False
linear,gaussian,False,DGDpD3D4,height,synthetic_disordered_carbon,200,30,1.1171859888651186,0.3,0.0,False
linear,lorentzian,False,DG,area,synthetic_disordered_carbon,200,30,0.2718650379317183,0.23333333333333334,0.0,False
linear,lorentzian,False,DG,height,synthetic_disordered_carbon,200,30,0.24264667744023244,0.4,0.0,False
linear,lorentzian,False,DGDp,area,synthetic_disordered_carbon,200,30,1.498793058232833,0.0,0.0,False
linear,lorentzian,False,DGDp,height,synthetic_disordered_carbon,200,30,0.6229549773867421,0.23333333333333334,0.0,False
linear,lorentzian,False,DGDpD3D4,area,synthetic_disordered_carbon,200,30,1.6140582878406073,0.0,0.0,False
linear,lorentzian,False,DGDpD3D4,height,synthetic_disordered_carbon,200,30,0.7350150035209077,0.23333333333333334,0.0,False
linear,lorentzian,True,DG,area,synthetic_disordered_carbon,200,30,,0.0,1.0,False
linear,lorentzian,True,DG,height,synthetic_disordered_carbon,200,30,,0.0,1.0,False
linear,lorentzian,True,DGDp,area,synthetic_disordered_carbon,200,30,,0.0,1.0,False
linear,lorentzian,True,DGDp,height,synthetic_disordered_carbon,200,30,,0.0,1.0,False
linear,lorentzian,True,DGDpD3D4,area,synthetic_disordered_carbon,200,30,,0.0,1.0,False
linear,lorentzian,True,DGDpD3D4,height,synthetic_disordered_carbon,200,30,,0.0,1.0,False
linear,pseudo_voigt,False,DG,area,synthetic_disordered_carbon,200,30,0.3091721744874022,0.23333333333333334,0.0,False
linear,pseudo_voigt,False,DG,height,synthetic_disordered_carbon,200,30,0.6676741244289204,0.3,0.0,False
linear,pseudo_voigt,False,DGDp,area,synthetic_disordered_carbon,200,30,1.5766651055028462,0.03333333333333333,0.0,False
linear,pseudo_voigt,False,DGDp,height,synthetic_disordered_carbon,200,30,1.4831855644468586,0.23333333333333334,0.0,False
linear,pseudo_voigt,False,DGDpD3D4,area,synthetic_disordered_carbon,200,30,1.6316812103515377,0.03333333333333333,0.0,False
linear,pseudo_voigt,False,DGDpD3D4,height,synthetic_disordered_carbon,200,30,2.090358255450906,0.26666666666666666,0.0,False
poly3,gaussian,False,DG,area,synthetic_disordered_carbon,200,30,0.2767384864316204,0.36666666666666664,0.0,False
poly3,gaussian,False,DG,height,synthetic_disordered_carbon,200,30,0.38612390148779613,0.3,0.0,False
poly3,gaussian,False,DGDp,area,synthetic_disordered_carbon,200,30,1.7637172017902043,0.03333333333333333,0.0,False
poly3,gaussian,False,DGDp,height,synthetic_disordered_carbon,200,30,0.9254298618894641,0.23333333333333334,0.0,False
poly3,gaussian,False,DGDpD3D4,area,synthetic_disordered_carbon,200,30,1.5413263818908132,0.03333333333333333,0.0,False
poly3,gaussian,False,DGDpD3D4,height,synthetic_disordered_carbon,200,30,0.8940810479371666,0.26666666666666666,0.0,False
poly3,lorentzian,False,DG,area,synthetic_disordered_carbon,200,30,0.37907218008450577,0.4,0.0,False
poly3,lorentzian,False,DG,height,synthetic_disordered_carbon,200,30,0.3211945643425043,0.6,0.0,False
poly3,lorentzian,False,DGDp,area,synthetic_disordered_carbon,200,30,1.6279838419820276,0.0,0.0,False
poly3,lorentzian,False,DGDp,height,synthetic_disordered_carbon,200,30,0.8883699137801134,0.13333333333333333,0.0,False
